company_location_city,investors,company_location_country,company_founded_on,series,funding_size_usd,date,company_name,company_founders,company_categories
Nacka Strand,"Balderton Capital, Index Ventures, Benchmark",SWE,2006-07-01,a,20000000,2006-09-01,Rebtel,"Jonas Lindroth, Hjalmar Winbladh","VoIP, Mobile"
Helsinki,Movida Group,FIN,1999-02-01,a,8200000,2006-07-01,Habbo,,"Curated Web, Entertainment, Games, Kids"
Stockholm,Northzone,SWE,2006-01-01,b,3000000,2008-08-01,TestFreaks,"Martin Alexanderson, Magnus Wiberg",E-Commerce
Stockholm,Northzone,SWE,2006-01-01,a,2800000,2007-05-01,TestFreaks,"Martin Alexanderson, Magnus Wiberg",E-Commerce
Malm,Nordic Venture Partners,SWE,2004-11-01,a,5100000,2006-11-01,Polar Rose,Jan Erik Solem,"Curated Web, Browser Extensions, Photography, Image Recognition"
Tallinn,"Estonian Development Fund, , Ambient Sound Investments",EST,2007-01-01,a,670512,2009-06-11,United Dogs and Cats,"Lauri Laineste, Martin Tajur",Pets
Tallinn,Ambient Sound Investments,EST,2007-01-01,,270776,2008-04-16,United Dogs and Cats,"Lauri Laineste, Martin Tajur",Pets
Helsinki,Accel Partners,FIN,,,1000000,2007-05-03,Comeks,,"Tourism, Entertainment, SMS, Mobile"
Helsinki,Nexit Ventures,FIN,2006-01-01,,21761700,2010-09-13,Blyk,"Antti hrling, Pekka Ala-Pietil","App Marketing, Messaging, Advertising, Weddings"
Helsinki,,FIN,2006-01-01,c,50612000,2008-11-18,Blyk,"Antti hrling, Pekka Ala-Pietil","App Marketing, Messaging, Advertising, Weddings"
Helsinki,"Industrial and Financial Investments Company, Goldman Sachs",FIN,2006-01-01,b,,2008-01-30,Blyk,"Antti hrling, Pekka Ala-Pietil","App Marketing, Messaging, Advertising, Weddings"
Helsinki,Sofinnova Ventures,FIN,2006-01-01,a,35391000,2006-01-01,Blyk,"Antti hrling, Pekka Ala-Pietil","App Marketing, Messaging, Advertising, Weddings"
Linkping,Servisen Investment Management,SWE,2006-01-01,,1350500,2007-07-01,Twingly,"Martin Kllstrm, Niclas Wistrm, Carl Fredrik Wettermark, Bjrn Milton",Search
Oslo,,NOR,2007-01-01,,1500000,2007-01-01,Secondbrain,Lars Teigen,"Content, Startups, Search, Social Media"
Kista,Northzone,SWE,2001-09-10,b,7267800,2006-01-12,Appear,Xavier Aubry,"Web Development, B2B, Mobility, Software, PaaS, Mobile, SaaS, Enterprise Software"
Oslo,,NOR,1995-01-01,,13168035,2013-04-05,Opera Software,Jon S. von Tetzchner,Software
Stockholm,"European Equity Partners, TLcom Capital Partners, Amadeus Capital Partners",SWE,2001-08-01,,41095600,2008-07-02,PacketFront,,"Software, Internet"
Helsinki,"Inventure Oy, Finnish Industry Investment, ",FIN,2006-07-01,a,1300000,2012-11-27,WOT Services Ltd.,"Timo Ala-Kleemola, Sami Tolvanen",Curated Web
Helsinki,"Finnish Industry Investment, Open Ocean, ",FIN,2006-07-01,,,2009-02-15,WOT Services Ltd.,"Timo Ala-Kleemola, Sami Tolvanen",Curated Web
Stockholm,"M10 GmbH, b-to-v Partners AG",SWE,2005-01-01,,,2006-12-01,alaTest,"Peter Bjrk, Arie Struik","Reviews and Recommendations, Semantic Web, Consumer Electronics, Software, Hardware + Software, Opinions"
Tallinn,,EST,2006-03-15,,131350,2007-03-07,Nagi,"Janek Hiis, Jri Kaljundi","Photography, Software, Video"
Helsinki,,FIN,2006-11-21,,,2007-09-12,Muxlim,,Curated Web
Stockholm,137 Ventures,SWE,2006-07-14,,,2012-01-01,Spotify,"Martin Lorentzon, Daniel Ek","Entertainment, Cloud Computing, Video Streaming, Music"
Stockholm,Technology Crossover Ventures,SWE,2006-07-14,f,250000000,2013-11-21,Spotify,"Martin Lorentzon, Daniel Ek","Entertainment, Cloud Computing, Video Streaming, Music"
Stockholm,"AFSquare, The Coca-Cola Company, Fidelity Ventures, Lakestar, Goldman Sachs",SWE,2006-07-14,e,100000000,2012-11-15,Spotify,"Martin Lorentzon, Daniel Ek","Entertainment, Cloud Computing, Video Streaming, Music"
Stockholm,"DST Global, Kleiner Perkins Caufield & Byers, Accel Partners",SWE,2006-07-14,d,100000000,2011-06-17,Spotify,"Martin Lorentzon, Daniel Ek","Entertainment, Cloud Computing, Video Streaming, Music"
Stockholm,"Founders Fund, ",SWE,2006-07-14,c,16139080,2010-02-01,Spotify,"Martin Lorentzon, Daniel Ek","Entertainment, Cloud Computing, Video Streaming, Music"
Stockholm,", Horizons Ventures, Wellington Partners",SWE,2006-07-14,b,50000000,2009-08-04,Spotify,"Martin Lorentzon, Daniel Ek","Entertainment, Cloud Computing, Video Streaming, Music"
Stockholm,", Creandum, Northzone, Horizons Ventures",SWE,2006-07-14,a,21640000,2008-10-01,Spotify,"Martin Lorentzon, Daniel Ek","Entertainment, Cloud Computing, Video Streaming, Music"
Gothenburg,Seedcamp,SWE,2006-03-16,,68480,2007-09-07,Tablefinder,Anders Fredriksson,"Startups, Artificial Intelligence, Online Reservations, Restaurants, Search"
Gothenburg,Start Invest,SWE,2006-03-16,,293411,2006-11-01,Tablefinder,Anders Fredriksson,"Startups, Artificial Intelligence, Online Reservations, Restaurants, Search"
Gothenburg,Chalmers Innovation,SWE,2006-03-16,,144828,2006-03-16,Tablefinder,Anders Fredriksson,"Startups, Artificial Intelligence, Online Reservations, Restaurants, Search"
Ume,Partnerinvest Norr,SWE,2007-01-01,,,2010-11-08,Nordic River,,"Collaboration, Document Management, Enterprise Software"
Ume,,SWE,2007-01-01,,1500000,2009-01-01,Nordic River,,"Collaboration, Document Management, Enterprise Software"
Espoo,"Creandum, Eqvitec",FIN,2001-01-01,a,5479600,2008-05-28,Xtract,"Jouko Ahvenainen, Kimmo Kiviluoto",Advertising
Los Angeles,"Emerson Ventures, Propulsion Ventures",SWE,2006-01-01,,31490,2008-10-24,Shopit,Matt Hill,E-Commerce
Stockholm,Nordic Venture Partners,SWE,2006-01-01,b,,2008-10-16,Jalbum,David Ekholm,"File Sharing, Photography, Software"
